FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
98,2020-07-20,Falcon 9,4,LEO,CCSFS SLC 40,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.577366,28.5618571
99,2020-08-07,Falcon 9,5,LEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
100,2020-08-18,Falcon 9,4,LEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
101,2020-08-30,Falcon 9,2,LEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,-80.577366,28.5618571
102,2020-09-03,Falcon 9,1,LEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.6039558,28.6080585
103,2020-10-06,Falcon 9,1.5,LEO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.6039558,28.6080585
104,2020-10-18,Falcon 9,1.5,LEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.6039558,28.6080585
105,2020-10-24,Falcon 9,1,LEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
106,2020-11-05,Falcon 9,2227.7,ISS,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
107,2020-11-16,Falcon 9,6500,GTO,KSC LC 39A,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.6039558,28.6080585
108,2020-11-21,Falcon 9,15600,VLEO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1060,-120.610829,34.632093
109,2020-11-25,Falcon 9,5000,ISS,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
110,2020-12-06,Falcon 9,6800,GTO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
111,2020-12-13,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
112,2020-12-19,Falcon 9,,SO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,8,B1062,-80.6039558,28.6080585
113,2021-01-08,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.577366,28.5618571
