FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
26,2016-01-17,Falcon 9,1898,ISS,VAFB SLC 4E,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,B1017,-120.610829,34.632093
27,2016-03-04,Falcon 9,4707,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1020,-80.577366,28.5618571
28,2016-04-08,Falcon 9,2477,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.577366,28.5618571
29,2016-05-06,Falcon 9,2034,LEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1022,-80.577366,28.5618571
30,2016-05-27,Falcon 9,553,PO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1023,-80.577366,28.5618571
31,2016-06-15,Falcon 9,5271,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1024,-80.577366,28.5618571
32,2016-07-18,Falcon 9,3136,ISS,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2,1,B1025,-80.577366,28.5618571
33,2016-08-14,Falcon 9,4696,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1026,-80.577366,28.5618571
34,2016-09-01,Falcon 9,3100,GTO,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3,0,B1028,-80.577366,28.5618571
35,2017-01-14,Falcon 9,1800,GTO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1029,-120.610829,34.632093
36,2017-02-19,Falcon 9,1800,GTO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1031,-80.6039558,28.6080585
37,2017-03-16,Falcon 9,2257,ISS,KSC LC 39A,None None,1,False,False,False,,3,0,B1030,-80.6039558,28.6080585
38,2017-03-30,Falcon 9,4600,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.6039558,28.6080585
39,2017-05-01,Falcon 9,5500,GTO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1032,-80.6039558,28.6080585
40,2017-05-15,Falcon 9,9600,PO,KSC LC 39A,None None,1,False,False,False,,3,0,B1034,-80.6039558,28.6080585
41,2017-06-03,Falcon 9,2490,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.6039558,28.6080585
42,2017-06-23,Falcon 9,5600,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1029,-80.6039558,28.6080585
43,2017-06-25,Falcon 9,5300,GTO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1036,-120.610829,34.632093
44,2017-07-05,Falcon 9,,LEO,KSC LC 39A,None None,1,False,False,False,,3,0,B1037,-80.6039558,28.6080585
45,2017-08-14,Falcon 9,6070,GTO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1039,-80.6039558,28.6080585
46,2017-08-24,Falcon 9,2708,ISS,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1038,-120.610829,34.632093
47,2017-09-07,Falcon 9,3669,GTO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1040,-80.6039558,28.6080585
48,2017-10-09,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,4,1,B1041,-120.610829,34.632093
49,2017-10-11,Falcon 9,6761,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1031,-80.6039558,28.6080585
50,2017-10-30,Falcon 9,2910,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,0,B1042,-80.6039558,28.6080585
51,2017-12-15,Falcon 9,475,SSO,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.577366,28.5618571
52,2017-12-23,Falcon 9,4990,LEO,VAFB SLC 4E,True Ocean,2,True,True,False,,3,1,B1036,-120.610829,34.632093
53,2018-01-08,Falcon 9,9600,PO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1043,-80.577366,28.5618571
54,2018-01-31,Falcon 9,5200,GTO,CCSFS SLC 40,True Ocean,2,True,True,True,,3,1,B1032,-80.577366,28.5618571
55,2018-02-06,Falcon Heavy,3700,GTO,KSC LC 39A,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3,0,B1033,-80.6039558,28.6080585
56,2018-02-22,Falcon 9,2205,ISS,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb90a834e7c8,2,1,B1025,-120.610829,34.632093
57,2018-03-06,Falcon 9,9600,PO,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,2,1,B1023,-80.577366,28.5618571
58,2018-03-30,Falcon 9,,LEO,VAFB SLC 4E,None None,2,True,True,False,,3,1,B1038,-120.610829,34.632093
59,2018-04-02,Falcon 9,4230,GTO,CCSFS SLC 40,None None,1,True,False,True,,4,0,B1044,-80.577366,28.5618571
