,FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
114,115,24/01/2021,Falcon 9,1977,ISS,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
115,116,04/02/2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
116,117,16/02/2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
117,118,04/03/2021,Falcon 9,9525,ISS,KSC LC 39A,True RTLS,5,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.6039558,28.6080585
118,119,11/03/2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
119,120,14/03/2021,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,8,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.6039558,28.6080585
120,121,24/03/2021,Falcon 9,3880,MEO,CCSFS SLC 40,True ASDS,5,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
121,122,07/04/2021,Falcon 9,,GEO,CCSFS SLC 40,True ASDS,5,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.577366,28.5618571
122,123,23/04/2021,Falcon 9,15600,VLEO,KSC LC 39A,False ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.6039558,28.6080585
123,124,29/04/2021,Falcon 9,112,SSO,CCSFS SLC 40,True ASDS,8,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
124,125,04/05/2021,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.6039558,28.6080585
125,126,09/05/2021,Falcon 9,1600,SSO,CCSFS SLC 40,True ASDS,9,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
126,127,15/05/2021,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.6039558,28.6080585
127,128,26/05/2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
128,129,03/06/2021,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1061,-80.6039558,28.6080585
129,130,06/06/2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
130,131,17/06/2021,Falcon 9,3681,MEO,CCSFS SLC 40,True ASDS,9,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
131,132,30/06/2021,Falcon 9,,ISS,CCSFS SLC 40,True ASDS,10,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
132,133,29/08/2021,Falcon 9,1440,PO,KSC LC 39A,True ASDS,8,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
133,134,14/09/2021,Falcon 9,15600,VLEO,VAFB SLC 4E,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,6,B1063,-120.610829,34.632093
134,135,16/09/2021,Falcon 9,2972,ISS,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1067,-80.6039558,28.6080585
135,136,11/11/2021,Falcon 9,7000,GTO,KSC LC 39A,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.6039558,28.6080585
136,137,13/11/2021,Falcon 9,,,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,8,B1062,-80.577366,28.5618571
137,138,24/11/2021,Falcon 9,3500,GTO,VAFB SLC 4E,True RTLS,8,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,12,B1060,-120.610829,34.632093
138,139,01/12/2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,9,B1061,-80.577366,28.5618571
139,140,09/12/2021,Falcon 9,,SSO,KSC LC 39A,True ASDS,10,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.6039558,28.6080585
140,141,18/12/2021,Falcon 9,15600,VLEO,VAFB SLC 4E,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,8,B1062,-120.610829,34.632093
141,142,19/12/2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,5,B1067,-80.577366,28.5618571
142,143,21/12/2021,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,9,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.6039558,28.6080585
143,144,06/01/2022,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,6,B1063,-80.6039558,28.6080585
144,145,13/01/2022,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,9,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,12,B1060,-80.577366,28.5618571
145,146,19/01/2022,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.6039558,28.6080585
146,147,31/01/2022,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,11,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
147,148,02/02/2022,Falcon 9,,ISS,VAFB SLC 4E,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,5,B1067,-120.610829,34.632093
148,149,03/02/2022,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,1,B1069,-80.6039558,28.6080585
149,150,21/02/2022,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,8,B1062,-80.577366,28.5618571
150,151,25/02/2022,Falcon 9,15600,VLEO,VAFB SLC 4E,True RTLS,10,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,13,B1058,-120.610829,34.632093
151,152,03/03/2022,Falcon 9,13520,VLEO,KSC LC 39A,True ASDS,10,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,12,B1060,-80.6039558,28.6080585
152,153,09/03/2022,Falcon 9,112,LEO,CCSFS SLC 40,True RTLS,3,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,6,B1052,-80.577366,28.5618571
153,154,19/03/2022,Falcon 9,,LEO,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb554034e7c9,5,3,B1071,-80.577366,28.5618571
154,155,01/04/2022,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,9,B1061,-80.577366,28.5618571
155,156,08/04/2022,Falcon 9,3328,ISS,KSC LC 39A,True ASDS,11,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,13,B1058,-80.6039558,28.6080585
156,157,17/04/2022,Falcon 9,7000,GTO,VAFB SLC 4E,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,6,B1063,-120.610829,34.632093
157,158,21/04/2022,Falcon 9,3681,MEO,CCSFS SLC 40,True ASDS,11,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
158,159,27/04/2022,Falcon 9,,SSO,KSC LC 39A,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,6,B1052,-80.6039558,28.6080585
159,160,29/04/2022,Falcon 9,,ISS,CCSFS SLC 40,True ASDS,12,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
160,161,06/05/2022,Falcon 9,15600,PO,KSC LC 39A,True ASDS,7,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.6039558,28.6080585
161,162,13/05/2022,Falcon 9,,LEO,VAFB SLC 4E,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,8,B1062,-120.610829,34.632093
162,163,14/05/2022,Falcon 9,12519,ISS,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,3,B1071,-80.577366,28.5618571
163,164,18/05/2022,Falcon 9,13260,LEO,KSC LC 39A,True ASDS,12,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.6039558,28.6080585
164,165,25/05/2022,Falcon 9,670,TLI,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,5,B1067,-80.577366,28.5618571
165,166,08/06/2022,Falcon 9,13260,PO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,8,B1062,-80.577366,28.5618571
